total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
73,3.5761936962274214,100,7448.131,yolov5n,0,0.7567062278588613,0,7.809673,15.7,0.22866317800000002,0.2284698486328125,204.20455884933472,103.21613311767578
74,3.740330443330705,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,8.494729,11.6,0.24517480600000002,0.24495601654052734,204.23022174835205,104.5275366306305
75,3.8298341643940423,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,9.062477,11.7,0.263303031,0.26311516761779785,204.4594976902008,105.86515283584595
76,3.3899121717579943,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.063578,12.7,0.22956855799999998,0.22933030128479004,204.53244018554688,107.16896319389343
77,3.302450833422063,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,8.421426,12.5,0.241343418,0.24114489555358887,204.92137479782104,108.4858512878418
78,3.2234888176846375,100,7448.131,yolov5l,0,0.6267436563968658,0,8.09257,12.5,0.232485911,0.23228144645690918,204.9343922138214,109.55673360824585
79,3.508459067148439,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.179728,12.2,0.23335638,0.23317241668701172,205.42667841911316,110.85665273666382
80,3.585941226379346,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,9.360022,12.0,0.270807564,0.27058863639831543,205.81045031547546,112.35231566429138
81,3.1863317172563397,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,9.207863,12.8,0.26309632400000005,0.2628965377807617,205.9955973625183,113.72162175178528
82,3.405837975400053,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,8.588174,12.3,0.24575108199999998,0.2455596923828125,206.06698727607727,115.26822996139526
83,3.5232772275841047,100,7448.131,yolov5n,0,0.5166085561116537,0,7.730876,13.9,0.221398307,0.2211930751800537,206.0466787815094,116.34699487686157
84,3.6093545685645925,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,9.139686,12.2,0.263936768,0.26372814178466797,206.56445360183716,117.67462468147278
85,3.519829521131416,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,8.410989,12.6,0.242213965,0.24202752113342285,207.00152778625488,119.02551174163818
86,3.382544085321295,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,8.217996,12.2,0.234398606,0.23419928550720215,207.19578051567078,120.32204985618591
87,3.4439819129072164,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,8.49772,12.4,0.24471574499999998,0.24451589584350586,206.89096975326538,121.38858962059021
88,3.4899337256802965,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,8.103129,12.5,0.233325811,0.23313546180725098,207.35824370384216,122.69261050224304
89,3.101541398077455,100,11834.285,yolov5l,7.217664390802383,0.6561513082547621,11,9.731238,12.7,0.26688787599999997,0.2666947841644287,207.50315141677856,124.24763941764832
90,3.328910283037213,100,9659.386,yolov5m,0,0.6561513082547621,0,8.371744,12.9,0.241163715,0.24097108840942383,207.20495915412903,125.59635877609253
91,3.4043560554841483,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,9.627783,13.1,0.248844767,0.24864602088928223,207.34637308120728,126.67017889022827
92,3.4892016415469187,100,7448.131,yolov5l,0,0.6505106687545776,0,8.191019,13.6,0.236015668,0.2358248233795166,206.36980366706848,127.74996042251587
93,3.2803455790312137,100,7448.131,yolov5x,0.6505106687545776,0.6505106687545776,1,8.513284,12.9,0.24562234700000002,0.24543166160583496,206.65758180618286,128.79986906051636
94,3.3817624661335937,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,9.075355,12.6,0.262784321,0.2625589370727539,207.1645040512085,130.12841701507568
95,3.397533689028499,100,7448.131,yolov5l,0,0.3075656592845917,0,7.9741,13.8,0.237379122,0.2371687889099121,207.35878372192383,131.2179934978485
96,3.4589512063940693,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.111551,12.3,0.231781881,0.23159003257751465,207.69411635398865,132.51098346710205
97,3.445775405139224,100,9659.386,yolov5x,0.6151313185691833,0.3075656592845917,2,9.107094,13.6,0.265197299,0.2650017738342285,206.52400135993958,133.8732409477234
98,3.5669402721208066,100,9659.386,yolov5n,0,0.3075656592845917,0,8.518472,12.4,0.23627665900000003,0.23607134819030762,206.8803310394287,135.16233611106873
99,3.371218396633143,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,8.643227,12.6,0.247297586,0.24707627296447754,206.91641354560852,136.49735307693481
100,3.4825817874818323,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,8.550637,12.5,0.240522649,0.2403242588043213,207.30253386497498,137.82502698898315
101,3.4082860797474623,100,11834.285,yolov5s,5.025311082601547,0.6281638853251934,8,8.658426,12.1,0.24720657699999998,0.24701571464538574,207.6853289604187,139.3749532699585
102,3.6867552977932836,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,9.26371,12.4,0.26765952000000004,0.26748085021972656,208.1907126903534,141.04566836357117
103,3.15734134951355,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,8.989113,14.5,0.258302333,0.25807881355285645,207.96372318267822,142.42551732063293
104,3.277494792967381,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,8.801918,12.4,0.25008760999999996,0.2498946189880371,208.2778069972992,143.74745678901672
105,3.2225515910061096,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,8.463723,12.4,0.242469552,0.24227452278137207,208.75431990623474,145.20021224021912
106,3.273636895887707,100,12737.638,yolov5l,25.44600060582161,0.5531739262135132,46,9.455665,12.7,0.26986527899999996,0.269665002822876,209.38259649276733,146.88950562477112
107,3.2950941481757514,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.010112,12.1,0.230990141,0.23079323768615723,209.47990131378174,148.21585607528687
108,3.3776309291636295,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,8.240152,12.2,0.23512538,0.23492813110351562,209.7995901107788,149.50485253334045
109,3.0981931071868716,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.295084,12.4,0.23322997399999998,0.23303627967834473,210.16006135940552,150.81352758407593
110,3.1718338204349283,100,9659.386,yolov5n,0,0.5912282400661044,0,8.731484,13.0,0.237850269,0.23765182495117188,210.08457040786743,152.13607692718506
111,3.159363366769138,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,10.892123,14.3,0.258482834,0.2582738399505615,210.23806524276733,153.50768423080444
112,3.1637049492168634,100,15432.59,yolov5n,4.378605306148529,0.6255150437355042,7,9.608374,13.3,0.275279012,0.27507781982421875,211.11545062065125,155.49297547340393
113,3.145769565217723,100,9659.386,yolov5m,0,0.6255150437355042,0,8.772072,13.2,0.246932406,0.24671435356140137,211.070463180542,156.86623644828796
114,2.9401233812542404,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,8.783608,13.0,0.25318187200000003,0.25296854972839355,211.39360427856445,158.34089136123657
115,2.980377790658772,100,11041.687,yolov5n,0.53394415974617,0.266972079873085,2,8.474832,12.2,0.241873986,0.2416830062866211,211.71094012260437,159.7787299156189
116,2.912556004007271,100,9730.288,yolov5x,7.946953594684601,0.6622461328903834,12,9.059181,12.5,0.260834187,0.2606375217437744,211.65985441207886,161.11405277252197
117,2.859685437939861,100,11041.687,yolov5x,3.1298563480377197,0.44712233543395996,7,9.741186,12.7,0.279837413,0.2796351909637451,211.86230945587158,162.60239028930664
118,3.0953478479760372,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,9.06266,12.2,0.257543842,0.2573237419128418,212.37669324874878,164.2195270061493
119,3.16075687814444,100,15432.59,yolov5x,7.167225807905197,0.6515659825368361,11,10.220616,12.7,0.299093073,0.29890012741088867,213.11167216300964,166.18854689598083
120,3.378153199929464,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,9.299781,13.0,0.252789288,0.2525930404663086,213.3832323551178,167.78179097175598
121,2.90490111442676,100,11834.285,yolov5x,10.05541855096817,0.5914952088804806,17,11.046602,13.5,0.28723290399999996,0.28704380989074707,213.74288988113403,169.3835642337799
122,3.114271676323453,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,8.326211,12.7,0.238760728,0.23856878280639648,214.0350465774536,170.73163294792175
123,3.0685006022642387,100,12694.89,yolov5x,7.348273575305939,0.6123561312754949,12,9.605933,12.5,0.27981143199999997,0.2796142101287842,214.74874424934387,172.38866710662842
124,3.259099365460176,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,8.251261,12.9,0.23706179,0.23687434196472168,214.98119187355042,173.7054762840271
125,3.206363749973535,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.206339,12.4,0.23228543799999998,0.2321033477783203,215.22126650810242,174.9907546043396
126,3.409410750309211,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,8.542215,12.8,0.24757416399999999,0.24736928939819336,215.28501749038696,176.45145726203918
127,3.3341547671525347,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,8.302469,13.4,0.24370242800000003,0.24351215362548828,215.468017578125,177.92685174942017
