total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
88,3.4899337256802965,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.860809,12.5,0.23887741099999998,0.23382306098937988,242.36352562904358,120.27167844772339
89,3.101541398077455,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,11.567658,14.0,0.23709908300000002,0.23215150833129883,242.76324152946472,121.51067471504211
90,3.328910283037213,100,12737.638,yolov5m,31.500484615564346,0.5431118037166267,58,13.036648,12.8,0.254361538,0.24942636489868164,243.45075726509094,123.07306265830994
91,3.4043560554841483,100,12737.638,yolov5s,24.017121732234955,0.49014534147418276,49,13.395657,14.0,0.25339421,0.24738860130310059,243.9531488418579,124.64242053031921
92,3.4892016415469187,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,12.120208,14.3,0.242577768,0.23674368858337402,244.26384902000427,125.96823358535767
93,3.2803455790312137,100,9730.288,yolov5m,9.401154845952988,0.6267436563968658,15,13.82278,14.8,0.249806762,0.2436981201171875,244.7248878479004,127.25176405906677
94,3.3817624661335937,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,12.911283,13.1,0.259226037,0.25315070152282715,245.11934661865234,128.5223388671875
95,3.397533689028499,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,13.129117,13.4,0.262139211,0.25630903244018555,245.58145451545715,129.80935430526733
96,3.4589512063940693,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,12.553679,13.2,0.257158572,0.2515597343444824,246.01613664627075,131.06932663917542
97,3.445775405139224,100,11834.285,yolov5l,7.217664390802383,0.6561513082547621,11,13.328335,14.6,0.269538912,0.2644352912902832,246.69394207000732,132.57718014717102
98,3.5669402721208066,100,12960.137,yolov5l,6.933388590812683,0.7703765100902982,9,16.396626,14.7,0.292100653,0.28664278984069824,247.35764026641846,134.22880268096924
99,3.371218396633143,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,11.908172,14.5,0.245175899,0.2400217056274414,247.6175057888031,135.54264163970947
100,3.4825817874818323,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,12.370757,12.9,0.250679569,0.24475312232971191,248.05908346176147,136.804931640625
101,3.4082860797474623,100,15432.59,yolov5l,7.088645935058594,0.6444223577325995,11,13.734645,12.7,0.28134850699999997,0.2760188579559326,248.97970366477966,138.61892175674438
102,3.6867552977932836,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,12.466704,13.2,0.250315737,0.24460220336914062,249.1032931804657,139.96874737739563
103,3.15734134951355,100,12694.89,yolov5l,5.359763652086258,0.7656805217266083,7,16.219501,14.2,0.277221016,0.2712972164154053,249.85759592056274,141.56618738174438
104,3.277494792967381,100,11834.285,yolov5l,7.217664390802383,0.6561513082547621,11,12.546843,12.9,0.2654727,0.2606387138366699,250.30842351913452,143.06783437728882
105,3.2225515910061096,100,15432.59,yolov5l,7.088645935058594,0.6444223577325995,11,14.306971,13.7,0.29502535999999996,0.28963208198547363,251.0987696647644,144.96819496154785
106,3.273636895887707,100,9659.386,yolov5l,0.5812882781028748,0.5812882781028748,1,17.530656,16.8,0.286849241,0.2823784351348877,251.20746111869812,146.31671452522278
107,3.2950941481757514,100,11041.687,yolov5s,1.2377407550811768,0.3094351887702942,4,16.870318,16.1,0.29150490399999995,0.2855253219604492,251.82004070281982,147.7765247821808
108,3.3776309291636295,100,12960.137,yolov5n,1.8557350933551788,0.6185783644517263,3,11.811615,14.2,0.25563647,0.2499372959136963,252.5006227493286,149.41360878944397
109,3.0981931071868716,100,13627.535,yolov5m,6.351359784603119,0.6351359784603119,10,14.133814,14.2,0.27451077500000004,0.26993250846862793,253.0968096256256,151.09706377983093
